,product_name,old_price,new_price,installment_price,timestamp
0,Apple iPhone 16 Pro (1 TB) - Titânio-preto - Distribuidor Autorizado,14299,12483,13870,2024-11-12 21:10:00
1,Apple iPhone 16 Pro (1 TB) - Titânio-preto - Distribuidor Autorizado,14299,12483,13870,2024-11-12 21:10:10
2,Apple iPhone 16 Pro (1 TB) - Titânio-preto - Distribuidor Autorizado,14299,12483,13870,2024-11-12 21:10:22
3,Apple iPhone 16 Pro (1 TB) - Titânio-preto - Distribuidor Autorizado,14299,12483,13870,2024-11-12 21:10:32
